序號,統計區,統計期,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計
,統計區,統計期,環保局污染源稽查罰款金額(千元),環保局污染源稽查罰款金額(千元),環保局污染源稽查罰款金額(千元),環保局污染源稽查罰款金額(千元),環保局污染源稽查罰款金額(千元),環保局污染源稽查罰款金額(千元),環保局污染源稽查罰款金額(千元),環保局污染源稽查罰款金額(千元),環保局污染源稽查罰款金額(千元),環保局污染源稽查罰款金額(千元),環保局污染源稽查罰款金額(千元),環保局污染源稽查罰款金額(千元),環保局污染源稽查罰款金額(千元),環保局污染源稽查罰款金額(千元),環保局污染源稽查罰款金額(千元),環保局污染源稽查罰款金額(千元),環保局污染源稽查罰款金額(千元),環保局污染源稽查罰款金額(千元),環保局污染源稽查罰款金額(千元),環保局污染源稽查罰款金額(千元),環保局污染源稽查罰款金額(千元),環保局污染源稽查罰款金額(千元),環保局污染源稽查罰款金額(千元),環保局污染源稽查罰款金額(千元),環保局污染源稽查罰款金額(千元),環保局污染源稽查罰款金額(千元),環保局污染源稽查罰款金額(千元),環保局污染源稽查經行政救濟撤銷金額(千元),環保局污染源稽查經行政救濟撤銷金額(千元),環保局污染源稽查經行政救濟撤銷金額(千元),環保局污染源稽查經行政救濟撤銷金額(千元),環保局污染源稽查經行政救濟撤銷金額(千元),環保局污染源稽查經行政救濟撤銷金額(千元),環保局污染源稽查經行政救濟撤銷金額(千元),環保局污染源稽查經行政救濟撤銷金額(千元),環保局污染源稽查經行政救濟撤銷金額(千元),環保局污染源稽查經行政救濟撤銷金額(千元),環保局污染源稽查經行政救濟撤銷金額(千元),環保局污染源稽查經行政救濟撤銷金額(千元),環保局污染源稽查經行政救濟撤銷金額(千元),環保局污染源稽查經行政救濟撤銷金額(千元),環保局污染源稽查經行政救濟撤銷金額(千元),環保局污染源稽查經行政救濟撤銷金額(千元),環保局污染源稽查經行政救濟撤銷金額(千元),環保局污染源稽查經行政救濟撤銷金額(千元),環保局污染源稽查經行政救濟撤銷金額(千元),環保局污染源稽查經行政救濟撤銷金額(千元),環保局污染源稽查經行政救濟撤銷金額(千元),環保局污染源稽查經行政救濟撤銷金額(千元),環保局污染源稽查經行政救濟撤銷金額(千元),環保局污染源稽查經行政救濟撤銷金額(千元),環保局污染源稽查經行政救濟撤銷金額(千元),環保局污染源稽查經行政救濟撤銷金額(千元),環保局污染源稽查實收罰款金額(千元),環保局污染源稽查實收罰款金額(千元),環保局污染源稽查實收罰款金額(千元),環保局污染源稽查實收罰款金額(千元),環保局污染源稽查實收罰款金額(千元),環保局污染源稽查實收罰款金額(千元),環保局污染源稽查實收罰款金額(千元),環保局污染源稽查實收罰款金額(千元),環保局污染源稽查實收罰款金額(千元),環保局污染源稽查實收罰款金額(千元),環保局污染源稽查實收罰款金額(千元),環保局污染源稽查實收罰款金額(千元),環保局污染源稽查實收罰款金額(千元),環保局污染源稽查實收罰款金額(千元),環保局污染源稽查實收罰款金額(千元),環保局污染源稽查實收罰款金額(千元),環保局污染源稽查實收罰款金額(千元),環保局污染源稽查實收罰款金額(千元),環保局污染源稽查實收罰款金額(千元),環保局污染源稽查實收罰款金額(千元),環保局污染源稽查實收罰款金額(千元),環保局污染源稽查實收罰款金額(千元),環保局污染源稽查實收罰款金額(千元),環保局污染源稽查實收罰款金額(千元),環保局污染源稽查實收罰款金額(千元),環保局污染源稽查實收罰款金額(千元),環保局污染源稽查實收罰款金額(千元),環保局污染源稽查實收罰款金額(千元)
,統計區,統計期,總計,水污染,空氣污染,噪音污染,廢棄物污染,飲用水污染,其他污染,毒性化學物質污染,環境用藥污染,環境影響評估,土壤及地下水污染,海洋汙染,事業廢水,事業廢水[畜牧業(一)除外],畜牧業(一)廢水,工業區專用污水下水道系統,公共及社區下水道系統,污水下水道系統,固定污染源,移動污染源(交通工具),營建工程,其他固定污染源,一般廢棄物,事業廢棄物,廢棄物清除處理機構,回收資源及其他(9700~),總計(不含綜合業務),總計,水污染,空氣污染,噪音污染,廢棄物污染,飲用水污染,其他污染,毒性化學物質污染,環境用藥污染,環境影響評估,土壤及地下水污染,事業廢水,事業廢水[畜牧業(一)除外],畜牧業(一)廢水,工業區專用污水下水道系統,公共及社區下水道系統,污水下水道系統,固定污染源,移動污染源(交通工具),營建工程,其他固定污染源,一般廢棄物,事業廢棄物,廢棄物清除處理機構,回收資源及其他(9700~),總計(不含綜合業務),總計,水污染,空氣污染,噪音污染,廢棄物污染,飲用水污染,其他污染,毒性化學物質污染,環境用藥污染,環境影響評估,土壤及地下水污染,海洋汙染,事業廢水,事業廢水[畜牧業(一)除外],畜牧業(一)廢水,工業區專用污水下水道系統,公共及社區下水道系統,其他(9700~),污水下水道系統,固定污染源,移動污染源(交通工具),營建工程,其他固定污染源,一般廢棄物,事業廢棄物,廢棄物清除處理機構,回收資源及其他(9700~),總計(不含綜合業務)
1,臺北市,2017年,"91,885.4",617.0,"18,785.5","12,870.9","57,692.0",-,60.0,"1,320.0",290.0,-,250.0,-,527.0,527.0,-,-,90.0,90.0,"3,497.5","15,288.0",620.0,"2,877.5","51,329.6","5,541.6",730.8,90.0,"91,885.4",980.7,-,317.0,84.0,574.7,-,5.0,-,-,-,-,-,-,-,-,-,-,10.0,307.0,-,10.0,529.1,39.6,6.0,-,980.7,"86,022.92",647.87,"18,365.18","12,858.99","52,441.71",-,66.6,"1,143.5",297.64,-,201.42,-,557.87,557.87,-,-,90.0,-,90.0,"3,824.8","14,540.38",530.0,"3,294.8","45,826.44","5,746.61",658.8,209.86,"86,022.92"
2,新北市,2017年,"316,470.58","124,808.78","48,833.5","1,752.9","102,742.9",180.0,455.0,"5,130.0",530.0,"5,137.5","26,900.0",-,"109,520.94","106,008.4","3,512.54",484.0,"14,803.84","15,287.84","32,952.5","15,881.0","5,512.5","27,440.0","36,454.5","64,454.4","1,554.0",280.0,"316,470.58","11,354.7","5,307.0","1,504.0",46.8,"4,346.9",120.0,10.0,-,20.0,-,-,"5,202.0","4,846.0",356.0,-,105.0,105.0,905.0,599.0,100.0,805.0,"2,109.3","2,165.6",72.0,-,"11,354.7","194,719.91","62,244.8","35,143.7","1,410.87","84,105.04",140.0,63.49,"3,714.51",410.0,"5,187.5","2,300.0",-,"60,180.8","57,692.59","2,488.21",484.0,"1,580.0",-,"2,064.0","24,127.44","11,016.26","5,549.92","18,577.52","34,457.94","48,049.91","1,327.19",270.0,"194,719.91"
3,臺中市,2017年,"130,325.92","52,306.41","43,735.5","1,099.8","15,091.5",480.0,288.6,"1,172.0",-,"15,252.12",900.0,-,"52,050.41","51,527.76",522.64,105.0,151.0,256.0,"41,140.0","2,595.5","1,815.0","39,325.0","10,274.5","4,419.0",374.0,24.0,"130,325.92","2,654.3","1,449.0",920.0,5.4,159.9,120.0,-,-,-,-,-,"1,449.0","1,015.0",434.0,-,-,-,900.0,20.0,-,900.0,99.9,60.0,-,-,"2,654.3","107,963.52","38,370.93","38,622.87","1,442.19","17,569.86",420.0,285.6,"1,132.0",72.6,"6,592.38","3,455.09",-,"38,094.92","37,354.48",740.44,105.0,171.01,-,276.01,"32,468.01","6,154.86","1,595.0","30,873.01","10,640.58","6,518.28",343.2,67.8,"107,963.52"
4,臺南市,2017年,"84,900.52","36,277.02","20,684.0",222.6,"17,914.9",-,"1,598.0","1,400.0",404.0,600.0,"5,800.0",-,"34,739.22","32,430.6","2,308.62","1,530.0",7.8,"1,537.8","17,555.0","3,129.0","1,215.0","16,340.0","5,166.7","11,817.0",931.2,-,"84,900.52","4,592.9",-,119.5,1.8,"4,280.4",-,91.2,-,-,-,100.0,-,-,-,-,-,-,100.0,19.5,-,100.0,8.4,"4,272.0",-,-,"4,592.9","69,357.75","28,111.82","17,896.65",207.89,"15,712.29",-,939.17,"1,473.33",448.6,600.0,"3,968.0",-,"28,034.02","24,910.69","3,123.33",70.0,7.8,-,77.8,"14,917.79","2,978.86","1,350.0","13,567.79","4,520.65","10,267.05",924.59,-,"69,357.75"
5,高雄市,2017年,"209,494.16","73,856.62","64,701.5",468.2,"57,021.44",60.0,196.4,"1,606.0",484.0,"2,050.0","9,050.0",-,"70,963.62","68,097.74","2,865.88","2,685.0",208.0,"2,893.0","59,341.5","5,360.0","2,541.5","56,800.0","46,444.4","7,536.24","3,040.8",-,"209,494.16","5,445.93",129.0,"3,715.13",31.8,"1,446.4",120.0,3.6,-,-,-,-,129.0,129.0,-,-,-,-,"3,641.13",74.0,226.13,"3,415.0","1,104.4",312.0,30.0,-,"5,445.93","164,418.23","44,327.71","58,884.07",704.65,"52,313.71",266.0,215.87,"1,246.0",584.0,"2,750.0","3,126.22",-,"43,250.21","41,164.79","2,085.42","1,074.5",3.0,-,"1,077.5","53,121.47","5,762.6","3,224.05","49,897.42","41,816.56","7,878.6","2,561.55",57.0,"164,418.23"
6,基隆市,2017年,"13,896.6",800.0,"5,371.5",126.3,"7,138.8",-,-,160.0,-,300.0,-,-,800.0,800.0,-,-,-,-,"1,368.0","4,003.5",723.0,645.0,"4,365.6",408.0,"2,365.2",-,"13,896.6",535.1,140.0,156.0,2.7,236.4,-,-,-,-,-,-,140.0,140.0,-,-,-,-,-,156.0,-,-,38.4,-,198.0,-,535.1,"10,782.14",510.0,"4,494.73",79.8,"5,537.61",-,-,160.0,-,-,-,-,510.0,510.0,-,-,-,-,-,"1,458.0","3,036.73",723.0,735.0,"3,720.37",403.84,"1,413.4",-,"10,782.14"
7,新竹市,2017年,"20,123.2","8,788.0","6,568.0",208.2,"3,684.0",-,55.0,160.0,60.0,600.0,-,-,"8,376.0","8,359.5",16.5,25.0,387.0,412.0,"5,468.0","1,100.0","3,723.0","1,745.0","2,046.6",577.8,682.8,376.8,"20,123.2","1,042.2",324.0,627.0,21.0,70.2,-,-,-,-,-,-,324.0,324.0,-,-,-,-,623.0,4.0,623.0,-,25.8,8.4,30.0,6.0,"1,042.2","17,367.22","7,509.0","5,606.52",187.2,"3,459.51",-,35.0,160.0,60.0,350.0,-,-,"7,062.0","7,045.5",16.5,-,447.0,-,447.0,"4,585.0","1,021.52","3,200.0","1,385.0","1,861.44",597.12,637.94,363.0,"17,367.22"
8,嘉義市,2017年,"4,741.6","1,203.0","1,902.0",258.6,988.0,-,-,-,90.0,-,300.0,-,"1,203.0","1,203.0",-,-,-,-,"1,075.0",827.0,-,"1,075.0",492.0,490.0,6.0,-,"4,741.6",40.2,-,15.0,-,25.2,-,-,-,-,-,-,-,-,-,-,-,-,-,15.0,-,-,25.2,-,-,-,40.2,"4,372.92","1,789.7","1,434.28",220.93,658.01,-,-,-,105.0,-,165.0,-,"1,789.7","1,789.7",-,-,-,-,-,700.0,734.28,-,700.0,366.01,292.0,-,-,"4,372.92"
